product_category_name_english,orders,late_rate,avg_delay_days,avg_review_score
furniture_mattress_and_upholstery,37,0.13513513513513514,-7.162162162162162,3.891891891891892
audio,344,0.11918604651162791,-10.005813953488373,3.8561046511627906
home_confort,370,0.0945945945945946,-9.781081081081082,3.9216216216216218
fashion_underwear_beach,117,0.09401709401709402,-10.504273504273504,4.017094017094017
books_technical,254,0.08267716535433071,-11.248031496062993,4.425196850393701
baby,2761,0.08113002535313292,-11.46106483158276,4.1287576964867805
office_furniture,1251,0.08073541167066348,-11.796163069544365,3.6558752997601918
christmas_supplies,124,0.08064516129032258,-12.185483870967742,4.120967741935484
electronics,2502,0.07673860911270983,-10.968425259792166,4.135891286970423
furniture_living_room,409,0.07579462102689487,-11.577017114914426,4.08557457212714
musical_instruments,608,0.0756578947368421,-11.435855263157896,4.25
health_beauty,8613,0.07535121328224777,-11.965749448508069,4.236948024304346
bed_bath_table,9184,0.07480400696864112,-11.35050087108014,4.0183471254355405
construction_tools_construction,724,0.07458563535911603,-11.027624309392266,4.156767955801105
watches_gifts,5476,0.07414170927684441,-11.783235938641344,4.129108838568298
auto,3792,0.07331223628691984,-11.193565400843882,4.157700421940929
dvds_blu_ray,55,0.07272727272727272,-13.054545454545455,4.181818181818182
furniture_decor,6188,0.07239819004524888,-12.251616031027796,4.085892049127343
telephony,4073,0.07144610851951878,-11.232261232506751,4.064817088141419
unknown,1358,0.07142857142857142,-11.353460972017674,4.046759941089838
food,436,0.07110091743119266,-9.69954128440367,4.341743119266055
industry_commerce_and_business,229,0.06986899563318777,-12.196506550218341,4.253275109170306
furniture_bedroom,90,0.06666666666666667,-13.333333333333334,4.2555555555555555
garden_tools,3400,0.0661764705882353,-11.791176470588235,4.205
stationery,2244,0.0659536541889483,-11.997326203208557,4.309937611408199
sports_leisure,7492,0.06593699946609717,-11.835157501334757,4.239588894821143
perfumery,3069,0.06581948517432389,-12.328771586836103,4.2702834799608995
construction_tools_lights,230,0.06521739130434782,-11.3,4.230434782608696
books_general_interest,492,0.06504065040650407,-11.892276422764228,4.544715447154472
cine_photo,62,0.06451612903225806,-10.67741935483871,4.387096774193548
toys,3787,0.06416688671771852,-12.06152627409559,4.24650118827568
computers_accessories,6511,0.06404546152664721,-12.358316694824143,4.087544156043618
art,193,0.06217616580310881,-12.875647668393782,4.103626943005182
costruction_tools_tools,97,0.061855670103092786,-12.175257731958762,4.443298969072165
home_appliances_2,227,0.06167400881057269,-12.33920704845815,4.154185022026431
home_construction,472,0.0614406779661017,-11.328389830508474,4.029661016949152
consoles_games,1013,0.06120434353405726,-11.498519249753208,4.189042448173741
cool_stuff,3530,0.05920679886685552,-12.385269121813032,4.235410764872522
fashio_female_clothing,35,0.05714285714285714,-12.028571428571428,3.9714285714285715
computers,177,0.05649717514124294,-11.581920903954803,4.237288135593221
fashion_bags_accessories,1811,0.05577029265599116,-13.162893429044727,4.2459966869133074
small_appliances_home_oven_and_coffee,72,0.05555555555555555,-11.51388888888889,4.430555555555555
music,36,0.05555555555555555,-14.055555555555555,4.388888888888889
housewares,5680,0.054225352112676053,-12.033978873239437,4.209859154929577
costruction_tools_garden,186,0.053763440860215055,-13.387096774193548,4.28494623655914
drinks,282,0.05319148936170213,-10.879432624113475,4.23758865248227
tablets_printing_image,78,0.05128205128205128,-13.166666666666666,4.166666666666667
pet_shop,1682,0.050535077288941736,-12.361474435196195,4.2788347205707495
small_appliances,606,0.04785478547854786,-13.83993399339934,4.273927392739274
fashion_shoes,233,0.04721030042918455,-14.30901287553648,4.298283261802575
fixed_telephony,212,0.04716981132075472,-14.90566037735849,3.981132075471698
fashion_male_clothing,106,0.04716981132075472,-13.443396226415095,3.830188679245283
kitchen_dining_laundry_garden_furniture,237,0.046413502109704644,-12.240506329113924,4.156118143459915
home_appliances,747,0.04417670682730924,-12.607764390896921,4.2193217313699245
signaling_and_security,137,0.043795620437956206,-11.635036496350365,4.145985401459854
luggage_accessories,1012,0.042490118577075096,-12.600790513833992,4.373517786561265
market_place,268,0.041044776119402986,-13.832089552238806,4.134328358208955
air_conditioning,245,0.04081632653061224,-13.910204081632653,4.134693877551021
books_imported,50,0.04,-11.22,4.44
agro_industry_and_commerce,177,0.03954802259887006,-11.259887005649718,4.107344632768362
food_drink,219,0.0365296803652968,-11.365296803652969,4.449771689497717
construction_tools_safety,154,0.025974025974025976,-12.967532467532468,4.025974025974026
party_supplies,37,0.0,-14.891891891891891,4.081081081081081
